,,,,,,,,,,,,,,,VALIDAZIONE CATEGORIE,,,,,,,,
FITTING,Female Adaptor Reciforced,20SW200065,20SAP200065,"DN 15 X 1/4""",PP STD - PN10,Butt / IT Welded - Female NPT - Reinforced,Female Adaptor Reciforced - NPT Thread,,Pcs,,nd,,,,,X,X,,,,,X,
FITTING,Female Adaptor Reciforced,20SW200066,20SAP200066,"DN 15 X 3/8""",PP STD - PN10,Butt / IT Welded - Female NPT - Reinforced,Female Adaptor Reciforced - NPT Thread,,Pcs,,nd,,,,,X,X,,,,,X,
FITTING,Female Adaptor Reciforced,20SW200067,20SAP200067,"DN15 X 1/2""",PP STD - PN10,Butt / IT Welded - Female NPT - Reinforced,Female Adaptor Reciforced - NPT Thread,,Pcs,GF (George Fischer),727914356,,,,,X,X,,,,,X,
FITTING,Female Adaptor Reciforced,20SW200068,20SAP200068,"DN 20 X 1/2""",PP STD - PN10,Butt / IT Welded - Female NPT - Reinforced,Female Adaptor Reciforced - NPT Thread,,Pcs,,nd,,,,,X,X,,,,,X,
FITTING,Female Adaptor Reciforced,20SW200069,20SAP200069,"DN 20 X 3/4""",PP STD - PN10,Butt / IT Welded - Female NPT - Reinforced,Female Adaptor Reciforced - NPT Thread,,Pcs,GF (George Fischer),727914357,,,,,X,X,,,,,X,
FITTING,Female Adaptor Reciforced,20SW200070,20SAP200070,"DN 20 X 1""",PP STD - PN10,Butt / IT Welded - Female NPT - Reinforced,Female Adaptor Reciforced - NPT Thread,,Pcs,,nd,,,,,X,X,,,,,X,
FITTING,Female Adaptor Reciforced,20SW200071,20SAP200071,"DN 25 X 1/2""",PP STD - PN10,Butt / IT Welded - Female NPT - Reinforced,Female Adaptor Reciforced - NPT Thread,,Pcs,,nd,,,,,X,X,,,,,X,
FITTING,Female Adaptor Reciforced,20SW200072,20SAP200072,"DN 25 X 3/4""",PP STD - PN10,Butt / IT Welded - Female NPT - Reinforced,Female Adaptor Reciforced - NPT Thread,,Pcs,,nd,,,,,X,X,,,,,X,
FITTING,Female Adaptor Reciforced,20SW200073,20SAP200073,"DN 25 X 1""",PP STD - PN10,Butt / IT Welded - Female NPT - Reinforced,Female Adaptor Reciforced - NPT Thread,,Pcs,GF (George Fischer),727914358,,,,,X,X,,,,,X,
FITTING,Female Adaptor Reciforced,20SW200074,20SAP200074,"DN 32 X 3/4""",PP STD - PN10,Butt / IT Welded - Female NPT - Reinforced,Female Adaptor Reciforced - NPT Thread,,Pcs,,nd,,,,,X,X,,,,,X,
FITTING,Female Adaptor Reciforced,20SW200075,20SAP200075,"DN 32 X 1""",PP STD - PN10,Butt / IT Welded - Female NPT - Reinforced,Female Adaptor Reciforced - NPT Thread,,Pcs,,nd,,,,,X,X,,,,,X,
FITTING,Male Adaptor,20SW200076,20SAP200076,"DN 15 X 1/4""",PP STD - PN10,Butt / IT Welded - Male NPT ,Male Adaptor - NPT Thread,,Pcs,,nd,,,,,X,X,,,,,X,
FITTING,Male Adaptor,20SW200077,20SAP200077,"DN 15 X 3/8""",PP STD - PN10,Butt / IT Welded - Male NPT ,Male Adaptor - NPT Thread,,Pcs,,nd,,,,,X,X,,,,,X,
FITTING,Male Adaptor,20SW200078,20SAP200078,"DN15 X 1/2""",PP STD - PN10,Butt / IT Welded - Male NPT ,Male Adaptor - NPT Thread,,Pcs,,nd,,,,,X,X,,,,,X,
FITTING,Male Adaptor,20SW200079,20SAP200079,"DN 20 X 1/2""",PP STD - PN10,Butt / IT Welded - Male NPT ,Male Adaptor - NPT Thread,,Pcs,,nd,,,,,X,X,,,,,X,
FITTING,Male Adaptor,20SW200080,20SAP200080,"DN 20 X 3/4""",PP STD - PN10,Butt / IT Welded - Male NPT ,Male Adaptor - NPT Thread,,Pcs,,nd,,,,,X,X,,,,,X,
FITTING,Male Adaptor,20SW200081,20SAP200081,"DN 20 X 1""",PP STD - PN10,Butt / IT Welded - Male NPT ,Male Adaptor - NPT Thread,,Pcs,,nd,,,,,X,X,,,,,X,
FITTING,Male Adaptor,20SW200082,20SAP200082,"DN 25 X 1/2""",PP STD - PN10,Butt / IT Welded - Male NPT ,Male Adaptor - NPT Thread,,Pcs,,nd,,,,,X,X,,,,,X,
FITTING,Male Adaptor,20SW200083,20SAP200083,"DN 25 X 3/4""",PP STD - PN10,Butt / IT Welded - Male NPT ,Male Adaptor - NPT Thread,,Pcs,,nd,,,,,X,X,,,,,X,
FITTING,Male Adaptor,20SW200084,20SAP200084,"DN 25 X 1""",PP STD - PN10,Butt / IT Welded - Male NPT ,Male Adaptor - NPT Thread,,Pcs,,nd,,,,,X,X,,,,,X,
FITTING,Male Adaptor,20SW200085,20SAP200085,"DN 32 X 3/4""",PP STD - PN10,Butt / IT Welded - Male NPT ,Male Adaptor - NPT Thread,,Pcs,,nd,,,,,X,X,,,,,X,
